Reading No,Reading Type,Duration,Main,Low,High,Light,Time,User,Sigma Value,Units,Heat,Lot,Note,Sample Depth,Mode,Ag,Ag 2-Sigma,Al,Al 2-Sigma,As,As 2-Sigma,Au,Au 2-Sigma,Ba,Ba 2-Sigma,Bal,Bal 2-Sigma,Bi,Bi 2-Sigma,Ca,Ca 2-Sigma,Cd,Cd 2-Sigma,Cl,Cl 2-Sigma,Co,Co 2-Sigma,Cr,Cr 2-Sigma,Cu,Cu 2-Sigma,Fe,Fe 2-Sigma,Hf,Hf 2-Sigma,Hg,Hg 2-Sigma,K,K 2-Sigma,Mg,Mg 2-Sigma,Mn,Mn 2-Sigma,Mo,Mo 2-Sigma,Nb,Nb 2-Sigma,Ni,Ni 2-Sigma,P,P 2-Sigma,Pb,Pb 2-Sigma,Pd,Pd 2-Sigma,Rb,Rb 2-Sigma,Re,Re 2-Sigma,S,S 2-Sigma,Sb,Sb 2-Sigma,Se,Se 2-Sigma,Si,Si 2-Sigma,Sn,Sn 2-Sigma,Sr,Sr 2-Sigma,Ta,Ta 2-Sigma,Th,Th 2-Sigma,Ti,Ti 2-Sigma,U,U 2-Sigma,V,V 2-Sigma,W,W 2-Sigma,Y,Y 2-Sigma,Zn,Zn 2-Sigma,Zr,Zr 2-Sigma
284,ucsb mining,210.76,29.9,29.69,30,114.24,"Wed Dec 7, 2022 - 13:06:46",User,2,ppm,,,,MAG1,Mining,0,2.1753,78633.2109,642.1483,2.5107,1.5261,4.9176,3.3025,356.4603,34.306,578186.25,3047.4282,0,1.8884,6464.8999,126.6031,0,3.3814,34303.1172,86.1161,0,75.196,113.7566,7.6415,30.2026,4.1814,41186.8125,152.7289,0,0,0,3.239,31133.252,239.8617,16747.3242,1261.9755,607.5671,35.5402,0,1.4719,13.4585,0.8712,57.4289,7.3504,610.9232,68.5241,27.9197,1.7091,0,1.9295,177.5619,2.2175,0,0,3218.9033,33.9417,0,6.4916,0,1.3318,203820.5469,346.2219,0,9.0203,127.9251,1.1398,0,0,15.5448,1.342,3757.8237,48.2948,3.9062,1.7566,145.3098,13.4946,0,0,18.765,1.0933,117.7515,5.3571,115.9777,1.5692
285,ucsb mining,210.64,0,29.72,29,29.36,"Wed Dec 7, 2022 - 13:10:26",User,2,ppm,,,,MAG1,Mining,0,2.184,82622.0391,658.2207,4.5533,1.5468,6.5151,3.3542,370.01,33.9463,566313.3125,3127.9773,0,1.8219,6537.3296,125.7802,0,3.3488,35423.9531,87.3634,0,75.1575,108.4199,7.5376,26.3757,4.0662,41132.0742,152.2055,0,0,0,3.0027,30948.6387,237.2915,18782.9824,1289.7546,600.2205,35.2009,0,1.6829,13.1097,0.8619,60.7665,7.5065,558.1741,67.781,26.8064,1.6782,0,1.8596,172.2074,2.1756,0,0,3347.8865,34.0269,0,6.3839,0,1.4114,208731.6875,347.4124,11.2688,3.5927,127.4661,1.1318,0,0,16.0843,1.3208,3664.7346,48.306,4.0034,1.7415,139.3555,13.3289,0,0,18.5761,1.077,116.0163,5.2976,115.4327,1.5576
286,ucsb mining,210.89,0,29.07,29.98,28.83,"Wed Dec 7, 2022 - 13:14:03",User,2,ppm,,,,MAG1,Mining,0,2.1901,83995.2812,663.9449,0,3.7172,5.5081,3.3468,345.9124,34.2258,560017.4375,3208.4004,0,1.798,7216.5737,130.812,0,3.3546,35740.5273,88.1228,0,106.1887,114.9535,7.7778,22.6863,4.0432,40952.7461,155.0791,0,0,0,3.2102,32265.2988,246.4581,19347.7051,1298.032,645.6669,36.7499,0,1.4874,14.3935,0.8858,55.9414,7.7195,527.1625,67.4823,33.1855,1.8194,0,1.9212,179.0242,2.2543,0,0,3406.3945,34.06,0,6.4589,0,1.31,210695.5781,350.0643,0,7.3283,127.4784,1.1527,0,0,17.0377,1.3526,3854.2788,49.1663,3.8199,1.7754,159.3364,13.9135,0,0,16.807,1.0966,122.3062,5.4826,116.9895,1.5945
287,ucsb mining,210.47,0,29.18,29.73,29.04,"Wed Dec 7, 2022 - 13:17:48",User,2,ppm,,,,MAG1,Mining,0,2.1705,84941.0625,668.1608,3.8684,1.583,0,4.909,348.4989,34.0026,556577.375,3251.6414,0,1.7852,7098.1235,125.5411,0,3.3754,35911.7109,87.9557,0,84.7551,117.4278,7.5105,20.5933,4.0098,41226.5742,155.7778,0,0,0,2.7162,32045.1426,238.0055,19785.4766,1303.9525,614.9606,36.2154,0,1.5842,12.8248,0.8763,60.7894,7.7995,589.8574,68.383,27.9854,1.7421,0,1.8907,175.9076,2.2422,0,0,3457.8999,34.2519,0,6.4288,0.8854,0.8845,212555.9844,349.0053,6.2884,3.5907,130.0076,1.1675,0,0,16.4931,1.3372,3860.9436,47.2166,3.5159,1.7667,152.8697,13.3572,0,0,17.6366,1.0998,122.4739,5.5006,116.8506,1.6011
288,ucsb mining,210.72,0,29.11,29.01,28.59,"Wed Dec 7, 2022 - 13:22:27",User,2,ppm,,,,SDAR-L2,Mining,0,2.9507,76846,540.1243,7.1126,3.309,0,4.9814,681.9203,35.2237,516390.8438,3222.5176,0,2.5213,5274.2549,101.0076,0,3.2552,0,24.9124,0,58.0801,84.8086,5.8116,55.2973,4.8571,20021.9941,122.9671,0,0,0,5.3737,36277.6055,215.1892,4474.1162,813.7628,556.0574,36.467,5.4645,1.3445,60.678,1.2478,21.488,6.1842,609.8632,68.6992,188.8628,3.6846,0,1.8237,124.6506,1.9532,0,0,622.0573,21.5886,10.9907,4.1997,0,1.3771,333809.0938,385.6982,19.2515,3.5444,139.7766,1.2281,0,0,19.0717,1.6145,2810.9495,38.0377,3.4515,1.7846,53.1737,9.685,0,13.6507,53.2899,1.3547,193.2911,6.5916,584.6126,3.1864
289,ucsb mining,211.53,0,29.89,29.46,29.17,"Wed Dec 7, 2022 - 13:26:06",User,2,ppm,,,,SDAR-L2,Mining,0,2.3843,77535.2734,549.4623,6.1761,3.223,0,5.1282,654.4191,34.537,512724.2812,3210.2117,0,2.1222,5384.7568,99.6461,0,3.1932,0,25.302,0,58.5442,80.7909,5.7312,54.1695,4.7401,19965.1328,120.5897,0,0,0,3.1132,36230.5391,212.1747,5221.3135,837.3994,574.3968,36.2888,4.6137,1.3178,61.0231,1.2289,20.0305,6.0292,607.9224,69.6497,187.1203,3.6015,0,1.803,125.8673,1.9302,0,0,640.7271,21.9003,8.0147,4.128,0,1.7058,336052.3125,387.2554,13.2187,3.4684,141.6575,1.2129,0,0,19.9585,1.5503,2803.1882,38.1187,4.683,1.7813,47.5805,9.5859,0,0,53.9959,1.3352,189.8099,6.3978,587.012,3.1351
290,ucsb mining,211.58,0,29.21,29.76,29.58,"Wed Dec 7, 2022 - 13:29:49",User,2,ppm,,,,SDAR-L2,Mining,0,3.2505,78473.5234,553.606,5.4597,3.217,0,4.9504,675.9234,34.346,509529.4688,3246.5591,0,3.821,5294.917,100.3002,0,3.1985,0,25.1355,0,57.0406,76.8427,5.6965,58.2278,4.8315,19994.5117,120.7356,0,0,0,3.4872,36440.1875,214.0912,6240.7559,856.0654,528.9091,35.2803,5.2564,1.3168,59.1575,1.2177,21.5795,6.0859,590.8197,69.0962,187.1022,3.6018,0,1.811,123.6683,1.9124,0,0,636.8165,21.8214,9.7289,4.0961,0,1.3505,337132.25,387.8769,18.5775,3.459,140.417,1.2085,0,0,18.1166,1.5927,2848.5056,37.6598,3.6629,1.7529,56.6929,9.6548,9.8875,6.9183,55.0684,1.339,182.4352,6.3408,581.5294,3.1233
291,ucsb mining,210.41,0,29.77,28.66,29.21,"Wed Dec 7, 2022 - 13:34:09",User,2,ppm,,,,SDAR-M2,Mining,16.8071,1.6286,82323.4375,565.689,31.8537,6.3584,0,6.065,760.0182,35.3532,517590.0625,3168.5835,0,3.0679,3909.1987,95.0335,0,3.2502,0,24.5279,0,47.0187,76.0446,5.532,231.1282,7.433,14268.3945,102.2278,0,0,0,3.6079,42748.4258,225.4836,7450.0815,878.7875,856.8948,40.5279,12.2921,1.1032,23.3944,0.9378,60.5059,6.4816,543.5518,63.8124,830.9862,7.0151,0,1.8152,153.9591,2.0479,0,0,1598.5693,27.2701,80.7541,4.5459,0,1.6766,323851.4375,383.7189,14.7748,3.496,137.3464,1.1583,0,0,10.719,2.0182,1386.3752,32.3844,5.0288,1.7579,42.1528,7.9457,19.7022,8.6203,33.2322,1.3658,707.781,10.711,225.0961,1.9982
292,ucsb mining,210.4,0,29.09,29.01,29.38,"Wed Dec 7, 2022 - 13:37:56",User,2,ppm,,,,SDAR-M2,Mining,14.5879,1.5955,82293.9297,562.6807,31.1656,6.4638,0,6.3869,784.3098,35.4389,517289.4375,3225.801,0,3.1542,3903.907,95.3189,0,3.2542,0,24.444,0,47.9539,80.7785,5.5782,235.3907,7.6338,14209.9932,104.0968,0,0,3.1155,2.5198,43027.9961,226.6508,7005.4229,866.7535,814.4608,40.5736,12.1804,1.1229,23.3948,0.9559,54.8051,6.4923,563.003,63.8415,825.244,7.1337,0,1.8145,154.2149,2.0889,0,0,1561.2812,27.1405,77.6212,4.5191,0,1.7375,324433.0312,383.2994,10.9175,3.469,136.5369,1.1787,0,0,10.9154,2.0662,1422.1381,32.2522,4.0393,1.7858,38.53,7.9133,12.4817,8.6401,33.4483,1.3934,708.282,10.9309,223.4687,2.032
293,ucsb mining,210.9,0,29.76,28.67,29.95,"Wed Dec 7, 2022 - 13:43:02",User,2,ppm,,,,M1801-2.9,Mining,0,2.0205,21124.3418,323.0088,3.9989,1.1172,0,4.3908,124.6583,29.7657,578114.375,2494.4346,0,1.7064,93684.0625,275.7171,10.0762,2.2275,16549.916,58.6954,0,35.2392,54.6373,5.1735,13.8855,3.6805,7586.2573,78.3121,0,0,0,2.4183,8770.6113,109.2204,8470.2119,1056.9398,51.7286,21.1326,7.8422,0.9663,0,1.8173,78.13,6.5791,1235.3425,83.4158,5.7689,1.1478,0,1.7658,36.2765,1.2395,0,0,10067.8301,53.6009,0,5.8757,1.7649,0.8223,252407.5156,357.1957,0,5.9458,476.9652,2.0894,0,0,2.5088,0.9508,893.7435,22.3949,11.6182,2.1472,97.1896,7.132,0,0,13.514,0.7718,76.6908,4.5932,28.5378,1.3804
294,ucsb mining,211.15,0,29.77,28.78,28.73,"Wed Dec 7, 2022 - 13:46:56",User,2,ppm,,,,M1801-2.9,Mining,0,2.1497,21370.5078,325.4853,3.8233,1.0724,0,4.045,129.9042,29.606,576590.4375,2436.7419,0,1.6555,93661.6406,276.6034,9.5435,2.2088,16511.5059,58.7901,0,33.8851,53.7259,5.1784,10.1267,3.4369,7543.2954,75.3018,0,0,0,2.4294,8683.9062,109.1996,8683.1943,1062.9204,58.475,20.5046,8.0226,0.9288,1.108,0.7181,68.6609,6.1398,1273.4938,84.8512,5.597,1.1121,0,1.794,38.1427,1.1994,0,0,10085.4102,53.7872,0,5.8955,2.4273,0.7981,253612.1875,358.3209,0,7.8807,480.2977,2.0212,0,0,3.5877,0.9406,895.6163,22.5039,9.3437,2.0325,89.81,7.0584,0,0,12.2286,0.7349,75.3447,4.4038,28.6069,1.3341
295,ucsb mining,211.55,0,29.8,28.83,29.51,"Wed Dec 7, 2022 - 13:51:17",User,2,ppm,,,,M1801-29.2,Mining,0,2.4217,25047.498,422.7274,6.405,1.332,0,5.0423,386.0464,37.5244,571136.625,2925.4285,0,2.2959,176086.0312,375.6407,0,3.9978,19938.541,66.9717,0,53.3224,53.7195,6.6528,14.7707,4.1777,15138.3564,116.2339,0,0,0,3.7599,12312.9766,139.4418,18473.9746,1502.1742,345.3977,33.0877,12.8934,1.1553,1.6678,0.8642,73.2783,7.532,857.9178,79.8806,5.3289,1.299,0,2.1198,34.9578,1.4154,0,0,4912.2896,40.8411,0,7.0391,1.5034,0.9316,153164.7188,323.618,8.2729,3.9644,604.1069,2.6006,0,0,2.4853,1.1283,1098.551,31.495,15.2792,2.6185,132.5934,9.7253,0,0,10.2138,0.833,79.9287,5.2336,43.6895,1.7364
296,ucsb mining,210.21,0,29.7,29.26,28.97,"Wed Dec 7, 2022 - 13:57:22",User,2,ppm,,,,M1801-29.2,Mining,0,2.4731,25108.7402,427.9212,6.0342,1.2738,0,4.8774,374.4497,38.8412,569107.6875,2882.4272,0,1.8808,175541.8906,379.6662,0,3.9309,19996.2578,67.554,0,51.0017,60.2949,6.8132,19.417,4.1469,15180.7256,112.1859,0,0,0,2.7912,12446.458,141.7727,19533.7207,1531.3682,357.6935,32.1936,12.2287,1.1079,2.0725,0.8342,74.1849,7.1918,844.5164,80.9108,5.3296,1.2611,0,2.1698,34.5779,1.3577,0,0,4971.4766,41.3616,0,7.2784,2.1087,0.9211,154349.625,326.912,10.5662,4.1229,604.3204,2.5078,0,0,4.4261,1.0804,1064.8311,32.1432,15.0513,2.5147,140.3057,9.95,0,0,9.0474,0.7893,78.2212,5.0163,43.697,1.6742
297,ucsb mining,211.45,0,29.63,29.24,29.44,"Wed Dec 7, 2022 - 14:01:52",User,2,ppm,,,,M1801-15.0,Mining,0,2.2778,37705.5039,468.6858,4.4076,1.2996,0,4.7376,483.1786,36.0801,581381.6875,2802.8096,0,1.8577,128605.7109,328.2508,0,6.0227,10238.8369,48.702,0,50.1245,102.378,6.5912,24.6302,4.2162,15217.8184,110.1977,0,0,0,3.1511,16441.1562,152.2315,16721.2012,1333.3408,250.5711,28.7801,6.4502,1.0631,4.6079,0.8724,95.4944,7.4865,2460.6963,116.1406,10.1587,1.3682,0,1.9341,52.7392,1.5173,0,0,7789.4224,49.4666,0,6.6449,1.7716,0.8911,179890.5312,338.8345,8.487,3.7327,639.9193,2.5352,0,0,7.3442,1.1385,1482.3386,32.5394,16.7331,2.5521,123.9691,9.5229,0,0,32.5639,1.027,135.8888,5.7587,63.8595,1.7664
298,ucsb mining,210.52,0,29.24,28.94,29.26,"Wed Dec 7, 2022 - 14:11:37",User,2,ppm,,,,M1801-15.0,Mining,0,2.2539,37636.7539,465.4091,5.6133,1.3319,0,4.9377,480.7214,35.6428,581061,2776.1812,0,1.9001,128597.2578,334.1134,0,5.6364,10221.918,48.6078,0,49.7054,95.1861,6.6668,25.1015,4.2057,15114.3662,109.4127,0,0,0,2.7898,16371.1309,154.7031,16073.5938,1317.6887,238.4321,28.431,6.7511,1.0561,3.6952,0.8576,94.7791,7.4258,2466.8516,116.2532,10.3864,1.3669,0,1.9581,52.9494,1.5026,0,0,7820.6841,49.5208,0,6.5845,2.459,0.9248,181169.7344,339.8753,7.837,3.6821,635.8251,2.5157,0,0,5.5761,1.1195,1441.0544,33.5602,14.9185,2.5032,120.8529,9.6915,0,0,33.1335,1.0265,128.1559,5.6257,63.216,1.7512
