Height,Section Height,SampleName,Ag,Ag 2-Sigma,Al,Al 2-Sigma,As,As 2-Sigma,Au,Au 2-Sigma,Ba,Ba 2-Sigma,Bal,Bal 2-Sigma,Bi,Bi 2-Sigma,Ca,Ca 2-Sigma,Cd,Cd 2-Sigma,Cl,Cl 2-Sigma,Co,Co 2-Sigma,Cr,Cr 2-Sigma,Cu,Cu 2-Sigma,Fe,Fe 2-Sigma,Hf,Hf 2-Sigma,Hg,Hg 2-Sigma,K,K 2-Sigma,Mg,Mg 2-Sigma,Mn,Mn 2-Sigma,Mo,Mo 2-Sigma,Nb,Nb 2-Sigma,Ni,Ni 2-Sigma,P,P 2-Sigma,Pb,Pb 2-Sigma,Pd,Pd 2-Sigma,Rb,Rb 2-Sigma,Re,Re 2-Sigma,S,S 2-Sigma,Sb,Sb 2-Sigma,Se,Se 2-Sigma,Si,Si 2-Sigma,Sn,Sn 2-Sigma,Sr,Sr 2-Sigma,Ta,Ta 2-Sigma,Th,Th 2-Sigma,Ti,Ti 2-Sigma,U,U 2-Sigma,V,V 2-Sigma,W,W 2-Sigma,Y,Y 2-Sigma,Zn,Zn 2-Sigma,Zr,Zr 2-Sigma,,Ag_Corr,Ag 2-Sigma_Corr,Al_Corr,Al 2-Sigma_Corr,As Corr,As 2-Sigma_Corr,Au_Corr,Au 2-Sigma_Corr,Ba_Corr,Ba 2-Sigma_Corr,Bi_Corr,Bi 2-Sigma_Corr,Ca_Corr,Ca 2-Sigma_Corr,Cd_Corr,Cd 2-Sigma_Corr,Cl_Corr,Cl 2-Sigma_Corr,Co_Corr,Co 2-Sigma_Corr,Cr_Corr,Cr 2-Sigma_Corr,Cu_Corr,Cu 2-Sigma_Corr,Fe_Corr,Fe 2-Sigma_Corr,Hf_Corr,Hf 2-Sigma_Corr,Hg_Corr,Hg 2-Sigma_Corr,K_Corr,K 2-Sigma_Corr,Mg_Corr,Mg 2-Sigma_Corr,Mn_Corr,Mn 2-Sigma_Corr,Mo_Corr,Mo 2-Sigma_Corr,Nb_Corr,Nb 2-Sigma_Corr,Ni_Corr,Ni 2-Sigma_Corr,P_Corr,P 2-Sigma_Corr,Pb_Corr,Pb 2-Sigma_Corr,Pd_Corr,Pd 2-Sigma_Corr,Rb_Corr,Rb 2-Sigma_Corr,S_Corr,S 2-Sigma_Corr,Sb_Corr,Sb 2-Sigma_Corr,Si_Corr,Si 2-Sigma_Corr,Sn_Corr,Sn 2-Sigma_Corr,Sr_Corr,Sr 2-Sigma_Corr,Th_Corr,Th 2-Sigma_Corr,Ti_Corr,Ti 2-Sigma_Corr,U_Corr,U 2-Sigma_Corr,V_Corr,V 2-Sigma_Corr,Y_Corr,Y 2-Sigma_Corr,Zn_Corr,Zn 2-Sigma_Corr,Zr_Corr,Zr 2-Sigma_Corr
102.4,2.4,EA2110_2.4,0,3.4426,39137.8594,409.3134,5.8628,1.3731,0,5.1761,341.634,30.2033,627968.5,1417.1184,0,1.7835,98807.0469,290.6599,9.8666,2.3361,1752.0006,25.0672,0,52.4231,130.8193,6.7041,42.5707,4.9121,17125.8301,113.9096,0,0,0,2.5414,14616.417,146.6782,4976.2197,853.8761,113.759,23.797,18.2484,1.1893,0,1.255,139.2892,8.6386,1371.3865,83.9622,6.5058,1.3629,0,1.94,57.487,1.6927,0,0,19843.4336,71.0026,0,6.2951,5.9581,1.0117,169887.1562,299.0766,10.5655,3.5509,737.5115,2.4535,0,0,4.6287,1.1082,2310.5527,33.8613,7.0617,1.9274,352.7789,12.3834,0,0,12.3918,0.8937,136.6741,5.8675,69.8988,1.8376,,0,5.89209956,36844.87506,6891.3134,0,3.535534041,0,6.481058945,293.6937971,63.6292223,0,1.7835,124774.8213,1698.78367,,,1644.714152,1878.216544,0,83.21250055,136.0884878,20.48930785,54.09117316,11.48432901,18280.61972,818.3769689,0,0,0,2.5414,14607.4959,1425.206251,4159.536586,2869.155234,308.4890143,57.82379156,18.2484,1.1893,0,2.826413198,132.4800348,19.69934983,1371.3865,330.2086316,4.292681059,7.560029894,0,1.94,83.17212182,6.055776449,22971.48787,477.4353311,0,10.83396355,198283.3414,12934.10448,10.5655,9.599093691,812.8605631,6.259242116,8.155556292,3.280294675,2806.068209,199.7436576,7.0617,2.759766508,360.0943369,29.17944265,26.9791346,3.972012268,151.3272523,15.01785753,74.67865086,22.43262798
103,3,EA2110_3.0,2.007,1.5495,29686.5957,382.1154,4.56,1.3859,0,5.4916,395.2715,32.1991,640293.4375,1433.079,0,1.9367,111295.7031,306.5874,7.2035,2.4396,11831.1152,49.2286,0,55.6386,102.8788,6.6129,39.7821,5.0328,18343.5234,120.876,0,0,0,3.2901,12413.126,138.2052,3352.7417,911.998,113.3998,24.5123,23.7087,1.2671,0,1.3193,134.325,8.8815,3258.1528,117.419,6.3819,1.4095,0,2.0286,49.4916,1.6942,0,0,23982.2285,78.9411,0,7.9937,4.4326,1.0533,140972.8438,282.6509,7.0958,3.7334,816.0544,2.6641,0,0,2.7865,1.1435,2302.6338,34.4236,8.0368,2.073,308.4912,12.216,0,11.3284,19.5392,0.9692,158.3212,6.4054,64.217,1.9323,,0,3.99899956,26311.74817,6864.1154,0,3.548334041,0,6.796558945,347.948691,65.6250223,0,1.9367,140512.3492,1714.71117,,,10934.60797,1902.377944,0,86.42800055,89.25950426,20.39810785,51.32424839,11.60502901,19389.56329,825.3433689,0,0,0,3.2901,12548.94455,1416.733251,2313.785534,2927.277134,308.1860872,58.53909156,23.7087,1.2671,0,2.890713198,128.218652,19.94224983,3258.1528,363.6654316,4.160718091,7.606629894,0,2.0286,78.50980212,6.057276449,27976.11551,485.3738311,0,12.53256355,173672.5615,12917.67878,7.0958,9.781593691,899.3604958,6.469842116,6.793455368,3.315594675,2797.842337,200.3059576,8.0368,2.905366508,313.2782579,29.01204265,31.70551717,4.047512268,173.9919459,15.55575753,68.86538048,22.52732798
103.3,3.3,EA2110_3.3,0,3.1434,26317.3984,384.3159,5.2023,1.4493,0,5.3641,373.0863,33.8798,614260.125,1508.8568,0,1.9879,140541.7969,336.9249,10.5853,2.6127,9398.0645,45.3545,0,56.9217,118.4527,7.1297,42.4618,5.1941,18406.2383,123.137,0,0,0,3.2715,13662.876,146.3745,3339.9143,985.2184,216.6549,27.5778,30.2279,1.3234,0,1.2936,150.1024,9.3524,895.9515,78.7687,7.511,1.4603,0,2.147,48.0489,1.6801,0,0,30050.9648,88.9018,0,7.024,4.4555,1.0588,138694.4844,284.6389,17.7403,4.0014,726.4328,2.5573,0,0,3.3791,1.1768,2074.23,34.5058,6.5765,2.0161,352.1018,12.967,0,11.6518,6.162,0.8741,165.5857,6.6117,73.2702,1.9394,,0,5.59289956,22556.88704,6866.3159,0,3.611734041,0,6.669058945,325.5081285,67.3057223,0,1.9879,177366.6921,1745.04867,,,8692.071445,1898.503844,0,87.71110055,115.3617539,20.91490785,53.98311962,11.76632901,19446.67725,827.6043689,0,0,0,3.2715,13716.59537,1424.902551,2299.201913,3000.497534,395.2650667,61.60459156,30.2279,1.3234,0,2.865013198,141.762333,20.41314983,895.9515,325.0151316,5.363295877,7.657429894,0,2.147,77.66852731,6.043176449,35314.42684,495.3345311,0,11.56286355,171733.3073,12919.66678,17.7403,10.04959369,800.6595009,6.363042116,7.23161681,3.348894675,2560.584606,200.3881576,6.5765,2.848466508,359.3785813,29.76304265,22.85953613,3.952412268,181.5979377,15.76205753,78.12806121,22.53442798
103.6,3.6,EA2110_3.6_A,1.9032,1.473,27289.7598,361.6076,3.6961,1.3608,0,5.3169,296.3776,30.1129,614822.375,1471.2106,0,1.8159,110328.7734,297.4713,9.0985,2.3429,12848.1807,50.9433,0,47.6994,109.9896,6.3831,32.7845,4.8508,12729.6689,104.7468,0,0,0,2.6575,11975.0967,132.5233,5538.166,926.5089,88.2594,23.79,33.8502,1.3195,0,1.2887,112.3785,8.3454,2168.7761,98.5131,6.5755,1.4113,0,1.912,54.5467,1.744,0,0,19999.7344,72.5961,0,6.3221,5.4793,1.0335,178426.1094,305.9148,6.7858,3.5479,751.7802,2.5684,0,0,4.5812,1.1365,1808.7281,30.106,9.6138,2.0463,330.1208,11.5213,0,0,8.2137,0.8891,134.5513,6.0601,63.8393,1.8906,,0,3.92249956,23640.55229,6843.6076,0,3.523234041,0,6.621858945,247.9164738,63.5388223,0,1.8159,139293.8768,1705.59507,,,11872.03461,1904.092644,0,78.48880055,101.1773846,20.16830785,44.38103934,11.42302901,14277.0708,809.2141689,0,0,0,2.6575,12139.69048,1411.051351,4798.419881,2941.788034,286.9842252,57.81679156,33.8502,1.3195,0,2.860113198,109.3792745,19.40614983,2168.7761,344.7595316,4.366916886,7.608429894,0,1.912,81.45755862,6.107076449,23160.48667,479.0288311,0,10.86096355,205551.3786,12940.94268,6.7858,9.596093691,828.5747981,6.374142116,8.120435353,3.308594675,2284.790689,195.9883576,9.6138,2.878666508,336.1426889,28.31734265,24.21626992,3.967412268,149.1046631,15.21045753,68.47894093,22.48562798
103.6,3.6,EA2110_3.6_B,3.1692,1.4995,28876.4355,371.0405,2.952,1.2978,0,5.3291,333.5195,30.434,607351.4375,1464.9343,0,1.8455,111589.3203,300.98,10.683,2.3671,12942.2012,50.9503,0,45.8815,112.3696,6.4709,37.5191,4.7697,12796.2275,101.0703,0,0,0,3.1062,12297.9033,135.0146,5737.4917,933.5351,76.9097,22.3923,34.7949,1.2713,0,1.2417,115.9962,8.0982,2458.2827,103.5448,6.9148,1.3663,0,1.937,53.9031,1.6608,0,0,20918.2246,73.9816,0,10.2551,4.6669,1.0185,181135.0469,306.5357,8.6358,3.5726,748.5039,2.4685,0,0,3.055,1.1009,1795.9796,30.6861,7.116,1.9407,330.0066,11.6382,0,10.5425,7.4221,0.8476,138.8179,5.9155,64.6341,1.8202,,0,3.94899956,25408.8509,6853.0405,0,3.460234041,0,6.634058945,285.4858953,63.8599223,0,1.8455,140882.3497,1709.10377,,,11958.69306,1904.099644,0,76.67090055,105.1663247,20.25610785,49.07883824,11.34192901,14337.68518,805.5376689,0,0,0,3.1062,12441.29111,1413.542651,5025.035591,2948.814234,277.4125887,56.41909156,34.7949,1.2713,0,2.813113198,112.4847909,19.15894983,2458.2827,349.7912316,4.728297315,7.563429894,0,1.937,81.0822592,6.023876449,24271.12433,480.4143311,0,14.79396355,207857.1247,12941.56358,8.6358,9.620793691,824.9665824,6.274242116,6.991981097,3.272994675,2271.548001,196.5684576,7.116,2.773066508,336.0219692,28.43424265,23.69280622,3.925912268,153.5718287,15.06585753,69.2921317,22.41522798
103.9,3.9,EA2110_3.9,2.3082,1.5486,34519.3086,411.8791,4.9962,1.4243,0,5.5368,414.0836,32.1784,624671.625,1503.2295,0,1.9508,117989.6094,313.42,10.7251,2.4651,11521.0244,48.7238,0,53.238,142.5551,7.079,60.74,5.4679,16699.0547,116.4948,0,0,0,3.2095,14642.4248,148.0915,4882.7051,957.9979,141.0468,25.5848,36.2388,1.3385,0,1.307,146.6504,9.0226,1510.7124,87.1572,7.3772,1.4532,0,2.0277,59.6286,1.8027,0,0,27899.1309,85.0483,0,6.9036,6.0724,1.0993,140698.0156,282.0666,14.813,3.7587,751.4551,2.5581,0,0,4.8389,1.1936,2481.5286,35.9564,12.0106,2.0857,393.8346,13.2678,0,11.4762,11.4517,0.9248,192.8998,6.8373,71.2248,1.9166,,0,3.99809956,31697.64997,6893.8791,0,3.586734041,0,6.841758945,366.9773275,65.6043223,0,1.9508,148947.6473,1721.54377,,,10648.79809,1901.873144,0,84.02740055,155.7579849,20.86420785,72.11924683,12.04012901,17891.95877,820.9621689,0,0,0,3.2095,14631.79518,1426.619551,4053.218747,2973.277034,331.5018609,59.61159156,36.2388,1.3385,0,2.878413198,138.7990573,20.08334983,1510.7124,333.4036316,5.220788652,7.650329894,0,2.0277,84.42094288,6.165776449,32712.43092,491.4810311,0,11.44246355,173438.6381,12917.09448,14.813,9.806893691,828.2167628,6.363842116,8.310975689,3.365694675,2983.671883,201.8387576,12.0106,2.918066508,403.4939015,30.06384265,26.35747186,4.003112268,210.1960274,15.98765753,76.03533299,22.51162798
104.2,4.2,EA2110_4.2,0,2.6599,37670.0234,453.2735,3.5761,1.4054,0,5.7019,451.0552,34.7388,600552.5,1654.8391,0,1.983,110712.6797,323.2833,0,5.5004,13031.1309,52.723,0,61.0236,127.1651,7.343,50.6295,5.2904,21950.3184,130.5361,0,0,0,2.8513,12587.7178,146.312,5866.8486,1055.6298,113.8983,24.6508,8.9622,1.2204,0,1.3431,123.0213,8.8798,10418.6426,196.9478,8.2162,1.4649,0,2.1575,47.5209,1.7343,0,0,36608.1523,99.8553,0,7.0819,4.7681,1.0458,145475.7344,290.6242,11.2291,4.0195,856.5496,2.7541,0,0,3.207,1.1765,2701.8552,38.6222,14.7275,2.2043,351.7921,13.7,0,0,26.5492,1.0284,127.8521,6.0269,93.5815,2.095,,0,5.10939956,35209.01944,6935.2735,0,3.567834041,0,7.006858945,404.3744888,68.1647223,0,1.983,139777.6547,1731.40707,,,12040.65934,1905.872344,0,91.81300055,129.9639563,21.12820785,62.08733372,11.86262901,22674.24272,835.0034689,0,0,0,2.8513,12712.06698,1424.840051,5172.102958,3070.908934,308.6064913,58.67759156,8.9622,1.2204,0,2.914513198,118.5152974,19.94054983,10418.6426,443.1942316,6.114387768,7.662029894,0,2.1575,77.36063717,6.097376449,43243.37298,506.2880311,0,11.62076355,177505.2534,12925.65208,11.2291,10.06769369,943.958188,6.559842116,7.104368102,3.348594675,3212.539307,204.5045576,14.7275,3.036666508,359.0512006,30.49604265,36.34104083,4.106712268,142.090545,15.17725753,98.90934154,22.69002798
104.5,4.5,EA2110_4.5,0,2.3772,30466.9102,409.3373,4.0119,1.3858,0,5.438,389.7863,33.6643,596497.625,1596.1016,0,2.0388,133333.5312,337.0505,4.7075,2.5293,20857.6875,65.0204,0,60.0992,110.3903,7.006,38.2549,5.0437,16705.5352,118.2388,0,0,0,2.889,12035.0098,140.6463,5045.8945,1040.9966,100.3976,24.428,14.9404,1.2306,0,1.3057,116.4178,8.688,1340.2374,86.0907,6.6313,1.4155,0,2.1022,47.7017,1.718,0,0,29118.0586,87.9358,0,6.9247,3.5354,0.9961,150307.1562,291.979,11.2158,3.9333,794.3358,2.6672,0,0,2.2652,1.1778,2134.2822,34.4681,12.1098,2.1363,293.0063,12.407,0,0,5.6725,0.8672,148.0278,6.3304,54.5819,1.902,,0,4.82669956,27181.38338,6891.3373,0,3.548234041,0,6.742958945,342.4003537,67.0902223,0,2.0388,168283.2262,1745.17427,,,19254.37628,1918.169744,0,90.88860055,101.8489679,20.79120785,49.80891901,11.61592901,17897.86051,822.7061689,0,0,0,2.889,12195.66774,1419.174351,4238.750677,3056.275734,297.2208341,58.45479156,14.9404,1.2306,0,2.877113198,112.846702,19.74874983,1340.2374,332.3371316,4.42634815,7.612629894,0,2.1022,77.46606621,6.081076449,34186.35737,494.3685311,0,11.46356355,181617.5787,12927.00688,11.2158,9.981493691,875.4416255,6.472942116,6.408012305,3.349894675,2622.964692,200.3504576,12.1098,2.968666508,296.9093269,29.20304265,22.535843,3.945512268,163.2146705,15.48075753,59.00733525,22.49702798
105.5,5.5,EA2110_5.5_A,2.8014,1.5436,24055.8496,342.4905,4.6573,1.338,0,5.1762,308.3859,31.3264,617013,1426.59,0,1.9677,126809.4141,312.948,10.5123,2.4453,21381.4863,63.6875,0,45.8142,89.0406,6.1627,32.6456,4.6455,12491.7588,100.8607,0,0,0,2.6261,11017.1719,127.7527,5226.3276,940.1422,33.3875,21.3991,29.3558,1.247,0,1.2285,66.8092,7.183,1087.6923,77.0106,5.6987,1.3602,0,2.0353,48.0442,1.6325,0,0,13641.4727,60.1404,0,7.0975,6.4965,1.0294,163876.75,293.8748,11.116,3.7055,780.9835,2.5397,0,0,3.7187,1.1587,1549.0236,29.0375,9.2383,1.9977,233.2899,10.3781,0,0,3.1415,0.8092,128.2496,5.7919,42.4548,1.7654,,0,3.99309956,20036.46425,6824.4905,0,3.500434041,0,6.481158945,260.0629952,64.7523223,0,1.9677,160061.8873,1721.07177,,,19737.16028,1916.836844,0,76.60360055,66.06633165,19.94790785,44.24321898,11.21772901,14060.40797,805.3280689,0,0,0,2.6261,11244.69414,1406.280751,4443.887171,2955.421334,240.7086509,55.42589156,29.3558,1.247,0,2.799913198,70.26154521,18.24374983,1087.6923,323.2570316,3.433057881,7.557329894,0,2.0353,77.66578662,5.995576449,15472.08146,466.5731311,0,11.63636355,193167.5087,12928.90268,11.116,9.753693691,860.7366292,6.345442116,7.482713039,3.330794675,2015.018905,194.9198576,9.2383,2.830066508,233.7837254,27.17414265,20.86216106,3.887512268,142.5067308,14.94225753,46.59962798,22.36042798
105.5,5.5,EA2110_5.5_B,0,3.5761,23441.2852,340.2934,6.5894,1.2798,0,5.4034,274.8494,30.1834,619474.25,1426.9707,0,1.8867,126338.1094,311.7021,7.8387,2.3451,20010.7891,61.8987,0,44.9798,86.7295,6.1446,31.105,4.6334,12284.2773,100.1287,0,0,0,2.6392,10860.4268,126.6466,5609.7788,945.9514,30.4119,21.2462,28.5199,1.24,0,1.2309,83.9206,7.4476,1242.8295,80.3612,0,1.8655,0,1.936,47.284,1.6202,0,0,13538.9014,60.2934,0,6.3372,7.0348,1.0563,163873.75,294.9669,0,8.7972,768.0718,2.5187,0,0,3.5698,1.1169,1540.9819,29.7805,8.7759,1.9825,233.6206,10.4252,0,0,3.9001,0.8099,122.9977,5.7209,39.429,1.7421,,0,6.02559956,19351.55215,6822.2934,0,3.442234041,0,6.708358945,226.1404737,63.6093223,0,1.8867,159467.9747,1719.82587,,,18473.79222,1915.048044,0,75.76920055,62.19286969,19.92980785,42.71459376,11.20562901,13871.45622,804.5960689,0,0,0,2.6392,11098.24601,1405.174651,4879.837307,2961.230534,238.1992135,55.27299156,28.5199,1.24,0,2.802313198,84.9503623,18.50834983,1242.8295,326.6076316,-2.636493114,8.062629894,0,1.936,77.22249479,5.983276449,15348.05232,466.7261311,0,10.87606355,193164.9553,12929.99478,0,14.84539369,846.5168693,6.324442116,7.372618137,3.288994675,2006.665474,195.6628576,8.7759,2.814866508,234.133305,27.22124265,21.36380275,3.888212268,137.0079478,14.87125753,43.50381442,22.33712798
106,6,EA2110_6.0,0,2.2797,32887.9648,405.2558,2.7274,1.2595,0,4.9886,412.5038,32.6442,626452,1574.3844,0,1.8597,98099.9688,297.2256,0,3.6013,25244.0254,69.8867,0,50.3624,98.9124,6.3434,43.2833,4.9739,15122.292,111.4275,0,0,0,2.7935,12578.8145,140.2669,10564.5469,1037.818,124.7373,24.5299,0,1.6768,0,1.2821,60.8367,7.1824,3377.9553,117.9976,4.7378,1.299,0,2.0863,48.6441,1.6437,0,0,15203.0859,64.1793,0,6.6763,0,1.2743,156151.3438,292.6145,14.5044,3.8151,634.4018,2.3427,0,0,5.6151,1.1585,2506.1113,34.9672,8.7126,1.9298,164.6193,10.8229,0,0,13.0885,0.9053,63.6464,4.9409,110.789,1.9854,,0,4.72919956,29879.57021,6887.2558,0,3.421934041,0,6.293558945,365.3793433,66.0701223,0,1.8597,123883.7998,1705.34937,,,23297.25257,1923.036044,0,81.15180055,82.61171771,20.12860785,54.79823426,11.54612901,16456.01356,815.8948689,0,0,0,2.7935,12703.74856,1418.794951,10512.97088,3053.097134,317.7474351,58.55669156,0,1.6768,0,2.853513198,65.13461462,18.24314983,3377.9553,364.2440316,2.409625949,7.496129894,0,2.0863,78.01560346,6.006776449,17360.38295,470.6120311,0,11.21516355,186591.9323,12927.64238,14.5044,9.863293691,699.3050143,6.148442116,8.884888802,3.330594675,3009.207516,200.8495576,8.7126,2.762166508,161.1927298,27.61894265,27.43984349,3.983612268,74.86664353,14.09125753,116.5150035,22.58042798
106.7,6.7,EA2110_6.7,0,3.2725,21430.9785,411.7461,0,3.081,0,5.9208,392.8682,38.6033,549631.625,1835.6885,0,2.3998,261097.6562,420.529,0,4.2789,14085.0078,55.2756,0,45.4125,94.533,7.7157,34.3424,5.3785,9882.1709,103.1163,0,0,0,3.1933,9215.1377,129.2636,6204.6016,1252.1342,246.7281,30.683,0,1.8285,0,1.4309,72.6674,8.0479,9295.9717,190.6107,3.9037,1.4774,0,2.4746,26.4153,1.709,0,0,9302.9014,54.9484,0,7.9614,1.4086,1.025,106247.8828,264.215,23.7159,4.5849,1166.5519,3.5139,0,0,0,2.4407,1217.8325,35.639,12.6872,2.5964,179.2692,11.7315,0,0,5.8865,0.9161,83.7289,5.9545,43.5756,2.3082,,0,5.72199956,17111.13053,6893.7461,0,5.243434041,0,7.225758945,345.5177279,72.0292223,0,2.3998,329284.6543,1828.65277,,,13012.01495,1908.424944,0,76.20190055,75.27173273,21.50090785,45.92683009,11.95072901,11683.87709,807.5836689,0,0,0,3.1933,9561.040031,1407.791651,5556.098278,3267.413334,420.6269477,64.70979156,0,1.8285,0,3.002313198,75.29035806,19.10864983,9295.9717,436.8571316,1.521245707,7.674529894,0,2.4746,65.05342868,6.072076449,10225.88434,461.3811311,0,12.50026355,144115.9752,12899.24288,23.7159,10.63309369,1285.366235,7.319642116,4.733150177,4.612794675,1670.989388,201.5213576,12.6872,3.428766508,176.6789907,28.52754265,22.67735542,3.994412268,95.89318792,15.10485753,47.74636202,22.90322798
107,7,EA2110_7.0,0,2.4437,27769.2715,421.1694,5.2495,1.2763,0,5.3765,396.8959,34.6148,599374,1724.811,0,1.9774,163732.8281,351.9919,0,4.0654,20758.498,65.4258,0,51.5611,111.7128,6.9525,18.6076,4.6416,14684.7344,114.3533,0,0,0,2.9283,12184.6494,137.9728,11047.8867,1200.0529,186.6781,27.2588,0,1.7236,0,1.3322,85.1437,7.9927,3601.3833,124.3061,0,1.8567,0,2.448,43.9493,1.7047,0,0,18381.1992,72.0377,0,7.1191,0,2.3052,124366.5859,276.1423,15.4551,4.0629,812.009,2.7486,0,0,3.831,1.1835,2005.8986,34.0449,10.5394,2.1657,220.2426,11.5126,0,0,8.696,0.9008,87.126,5.5612,86.8227,2.0898,,0,4.89319956,24174.95253,6903.1694,0,3.438734041,0,6.681458945,349.5917887,68.0407223,0,1.9774,206590.7731,1760.11567,,,19162.95358,1918.575144,0,82.35050055,104.0655113,20.73770785,30.31433355,11.21382901,16057.53335,818.8206689,0,0,0,2.9283,12335.47714,1416.500851,11062.48553,3215.332034,369.9844834,61.28559156,0,1.7236,0,2.903613198,86.00029932,19.05344983,3601.3833,370.5525316,-2.636493114,8.053829894,0,2.448,75.27794699,6.067776449,21203.35514,478.4704311,0,11.65796355,159537.9367,12911.17018,15.4551,10.11109369,894.905264,6.554342116,7.565746333,3.355594675,2489.604381,199.9272576,10.5394,2.998066508,219.9915568,28.30864265,24.53520188,3.979112268,99.44997985,14.71155753,91.99415061,22.68482798
107.3,7.3,EA2110_7.3,2.446,1.6378,20300.7539,354.2469,4.2333,1.2284,0,5.5219,308.1895,33.2889,626656.5625,1552.0822,0,1.9502,160268.3438,350.4102,8.7121,2.5801,33944.9805,82.7135,0,42.71,82.1638,6.4131,31.1723,4.8676,9821.082,94.3469,0,0,0,2.9205,10364.1172,129.5999,5359.0352,1105.7063,78.6623,23.6721,5.4611,1.178,0,1.2983,99.7644,8.0864,2070.3301,99.0638,0,1.8773,0,2.1481,47.0472,1.7121,0,0,23862.8203,80.2302,0,6.9672,3.7227,1.0093,103854.5703,253.508,11.3312,3.9432,862.7734,2.7699,0,0,4.7344,1.1857,1534.9259,30.9549,10.6603,2.1613,192.0219,10.5487,0,0,9.5228,0.8961,142.5371,6.2543,57.1204,1.9595,,0,4.08729956,15851.53187,6836.2469,0,3.390834041,0,6.826858945,259.8643345,66.7148223,0,1.9502,202225.0177,1758.53397,,,31316.90035,1935.862844,0,73.49940055,54.54064121,20.19830785,42.78137065,11.43982901,11628.24392,798.8142689,0,0,0,2.9205,10634.54022,1408.127951,4594.763987,3120.985434,278.8906233,57.69889156,5.4611,1.178,0,2.869713198,98.55104257,19.14714983,2070.3301,345.3102316,-2.636493114,8.074429894,0,2.1481,77.08441073,6.075176449,27831.72721,486.6629311,0,11.50606355,142078.8772,12888.53588,11.3312,9.991393691,950.8125094,6.575642116,8.233709624,3.357794675,2000.374717,196.8372576,10.6603,2.993666508,190.1597407,27.34474265,25.08194239,3.974412268,157.465862,15.40465753,61.60457325,22.55452798
108.3,8.3,EA2110_8.3,2.0832,1.4166,24377.4512,337.8279,0,2.1324,0,4.7866,263.5127,28.7234,624708.9375,1411.2585,0,1.7922,87464.5234,272.5023,4.6058,2.208,21284.8535,64.0219,0,43.2854,76.2801,5.7149,22.9631,4.2524,11983.3203,96.1763,0,0,0,2.5358,9688.4922,119.7209,6402.4863,916.3156,77.3934,22.0333,0,1.5253,0,1.2226,47.3218,6.466,4436.8101,132.3578,4.4439,1.2225,0,1.8559,40.0758,1.484,0,0,13464.9434,61.1969,0,6.0605,1.3438,0.8433,193044.5469,312.0291,10.3801,3.4217,632.9137,2.2199,0,0,2.8912,1.0534,1601.9429,28.3179,10.6463,1.8486,178.0783,9.3949,0,0,34.7149,0.9902,73.7929,4.8202,58.175,1.6681,,0,3.86609956,20394.8788,6819.8279,0,4.294834041,0,6.091558945,214.6732827,62.1493223,0,1.7922,110481.5878,1680.62607,,,19648.09408,1917.171244,0,74.07480055,44.67941145,19.50010785,34.63597912,10.82462901,13597.37708,800.6436689,0,0,0,2.5358,10003.2987,1398.248951,5781.075699,2931.594734,277.8205114,56.06009156,0,1.5253,0,2.794013198,53.53311537,17.52674983,4436.8101,378.6042316,2.096599989,7.419629894,0,1.8559,73.01921129,5.847076449,15258.62236,467.6296311,0,10.59936355,217994.0451,12947.05698,10.3801,9.469893691,697.6661577,6.025642116,6.870869312,3.225494675,2069.989589,194.2002576,10.6463,2.680966508,175.4201024,26.19094265,41.74079768,4.068512268,85.49011335,13.97055753,62.68357549,22.26312798
108.6,8.6,EA2110_8.6_A,0,2.7533,37892.7617,425.9459,1.7813,1.2968,0,5.3372,391.6523,31.6065,619608.75,1532.2917,0,1.8489,107923.125,312.3998,0,3.5001,12348.4639,50.121,0,51.2921,122.2697,6.805,40.1281,4.9136,15842.8105,112.4686,0,0,0,2.7133,16222.2393,159.2416,7183.3877,968.1407,84.8476,23.3159,0,2.6814,0,1.257,102.9735,8.0554,2463.0662,102.5819,7.5997,1.396,0,1.9919,60.1672,1.7718,0,0,20045.0469,73.108,0,6.5328,3.2834,0.9654,156138.9219,294.3399,9.015,3.6796,661.1711,2.3682,0,0,5.0678,1.153,2367.7983,35.475,13.1491,2.003,243.7977,11.8288,0,0,1.4019,0.8286,130.8903,5.9063,84.3981,1.8795,,0,5.20279956,35457.25405,6907.9459,0,3.459234041,0,6.642158945,344.2878323,65.0324223,0,1.8489,136262.4091,1720.52357,,,11411.44693,1903.270344,0,82.08150055,121.7591423,20.59020785,51.667559,11.48582901,17112.18401,816.9359689,0,0,0,2.7133,16107.82775,1437.769651,6668.891598,2983.419834,284.1069237,57.34269156,0,2.6814,0,2.828413198,101.3058074,19.11614983,2463.0662,348.8283316,5.457768155,7.593129894,0,1.9919,84.73501414,6.134876449,23215.27852,479.5407311,0,11.07166355,186581.3593,12929.36778,9.015,9.727793691,728.7862614,6.173942116,8.480221646,3.325094675,2865.532899,201.3573576,13.1491,2.835366508,244.8914144,28.62484265,19.71181057,3.906912268,145.2715656,15.05665753,89.51344813,22.47452798
